Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2013-14,Partizan NIS Belgrade,24,267,11.1,94/163,57.7,8/35,22.9,55/77,71.4,207,14,24,6,"LAUVERGNE, JOFFREY"
2018-19,Fenerbahce Beko Istanbul,22,187,8.5,75/125,60,6/20,30,19/37,51.4,79,8,40,7,"LAUVERGNE, JOFFREY"
2019-20,Fenerbahce Beko Istanbul,19,119,6.3,49/87,56.3,2/7,28.6,15/34,44.1,51,3,16,3,"LAUVERGNE, JOFFREY"
2020-21,Zalgiris Kaunas,4,46,11.5,19/31,61.3,0/1,0,8/12,66.7,23,1,0,0,"LAUVERGNE, JOFFREY"
2013-14,Crvena Zvezda Telekom Belgrade,10,26,2.6,6/12,50,3/7,42.9,5/6,83.3,13,1,7,0,"LAZIC, BRANKO"
2014-15,Crvena Zvezda Telekom Belgrade,19,74,3.9,16/37,43.2,10/29,34.5,12/16,75,29,11,14,1,"LAZIC, BRANKO"
2015-16,Crvena Zvezda Telekom Belgrade,26,111,4.3,21/47,44.7,16/39,41,21/24,87.5,34,23,27,0,"LAZIC, BRANKO"
2016-17,Crvena Zvezda mts Belgrade,30,131,4.4,28/48,58.3,21/57,36.8,12/21,57.1,65,42,10,3,"LAZIC, BRANKO"
2017-18,Crvena Zvezda mts Belgrade,30,100,3.3,19/47,40.4,15/58,25.9,17/18,94.4,60,23,27,4,"LAZIC, BRANKO"
2019-20,Crvena Zvezda mts Belgrade,25,98,3.9,25/48,52.1,14/48,29.2,6/9,66.7,32,16,16,1,"LAZIC, BRANKO"
2020-21,Crvena Zvezda mts Belgrade,4,6,1.5,2/5,40,0/5,0,2/2,100,4,4,1,0,"LAZIC, BRANKO"
2018-19,Olympiacos Piraeus,30,292,9.7,90/158,57,10/28,35.7,82/105,78.1,121,10,8,12,"LEDAY, ZACH"
2019-20,Zalgiris Kaunas,28,329,11.8,99/192,51.6,13/30,43.3,92/109,84.4,131,13,27,19,"LEDAY, ZACH"
2020-21,AX Armani Exchange Milan,4,26,6.5,7/17,41.2,1/5,20,9/10,90,18,2,1,1,"LEDAY, ZACH"
2014-15,Zalgiris Kaunas,24,131,5.5,34/73,46.6,14/42,33.3,21/27,77.8,44,10,64,1,"LEKAVICIUS, LUKAS"
2015-16,Zalgiris Kaunas,21,96,4.6,17/48,35.4,16/31,51.6,14/19,73.7,24,18,28,0,"LEKAVICIUS, LUKAS"
2016-17,Zalgiris Kaunas,30,256,8.5,70/138,50.7,25/74,33.8,41/54,75.9,58,19,104,1,"LEKAVICIUS, LUKAS"
2017-18,Panathinaikos Superfoods Athens,31,120,3.9,26/56,46.4,17/35,48.6,17/19,89.5,30,7,48,0,"LEKAVICIUS, LUKAS"
2018-19,Panathinaikos OPAP Athens,33,133,4,30/69,43.5,17/42,40.5,22/28,78.6,27,9,44,1,"LEKAVICIUS, LUKAS"
2019-20,Zalgiris Kaunas,27,284,10.5,87/149,58.4,20/51,39.2,50/58,86.2,36,13,76,1,"LEKAVICIUS, LUKAS"
2020-21,Zalgiris Kaunas,5,47,9.4,12/16,75,5/8,62.5,8/8,100,7,2,17,0,"LEKAVICIUS, LUKAS"
2011-12,Bennet Cantu,5,14,2.8,4/8,50,1/5,20,3/4,75,4,2,2,0,"LIGHTY, DAVID"
2013-14,JSF Nanterre,7,79,11.3,21/44,47.7,9/26,34.6,10/18,55.6,27,5,19,4,"LIGHTY, DAVID"
2019-20,LDLC ASVEL Villeurbanne,27,265,9.8,73/138,52.9,28/79,35.4,35/43,81.4,69,25,46,4,"LIGHTY, DAVID"
2020-21,LDLC ASVEL Villeurbanne,2,7,3.5,2/4,50,1/6,16.7,0/0,0,3,0,0,0,"LIGHTY, DAVID"
2007-08,Real Madrid,15,35,2.3,10/21,47.6,0/6,0,15/19,78.9,6,3,13,1,"LLULL, SERGIO"
2008-09,Real Madrid,19,132,6.9,25/44,56.8,19/50,38,25/27,92.6,20,10,42,4,"LLULL, SERGIO"
2009-10,Real Madrid,18,171,9.5,33/50,66,28/67,41.8,21/29,72.4,21,18,36,1,"LLULL, SERGIO"
2010-11,Real Madrid,23,274,11.9,57/125,45.6,34/99,34.3,58/69,84.1,53,18,68,2,"LLULL, SERGIO"
2011-12,Real Madrid,16,118,7.4,28/52,53.8,13/44,29.5,23/32,71.9,24,9,51,0,"LLULL, SERGIO"
2012-13,Real Madrid,27,280,10.4,52/111,46.8,42/124,33.9,50/64,78.1,62,16,86,4,"LLULL, SERGIO"
2013-14,Real Madrid,31,354,11.4,81/132,61.4,51/151,33.8,39/49,79.6,57,20,126,1,"LLULL, SERGIO"
2014-15,Real Madrid,30,313,10.4,54/104,51.9,53/140,37.9,46/56,82.1,51,25,175,2,"LLULL, SERGIO"
2015-16,Real Madrid,24,308,12.8,38/89,42.7,55/157,35,67/83,80.7,43,16,111,4,"LLULL, SERGIO"
2016-17,Real Madrid,33,543,16.5,104/204,51,73/221,33,116/137,84.7,60,24,194,3,"LLULL, SERGIO"
2017-18,Real Madrid,4,40,10,4/12,33.3,9/24,37.5,5/10,50,2,2,18,0,"LLULL, SERGIO"
2018-19,Real Madrid,27,283,10.5,39/92,42.4,53/165,32.1,46/48,95.8,53,12,107,0,"LLULL, SERGIO"
2019-20,Real Madrid,16,120,7.5,16/56,28.6,21/73,28.8,25/28,89.3,19,9,56,1,"LLULL, SERGIO"
2020-21,Real Madrid,4,43,10.8,7/14,50,7/20,35,8/8,100,5,1,10,0,"LLULL, SERGIO"
2016-17,Brose Bamberg,26,139,5.3,34/68,50,21/50,42,8/12,66.7,30,7,32,3,"LO, MAODO"
2017-18,Brose Bamberg,30,207,6.9,44/93,47.3,36/87,41.4,11/14,78.6,41,9,55,3,"LO, MAODO"
2018-19,FC Bayern Munich,29,193,6.7,47/91,51.6,22/64,34.4,33/42,78.6,43,28,55,2,"LO, MAODO"
2019-20,FC Bayern Munich,28,251,9,36/92,39.1,52/122,42.6,23/31,74.2,54,19,93,1,"LO, MAODO"
2020-21,ALBA Berlin,4,25,6.3,5/10,50,4/15,26.7,3/3,100,8,2,4,0,"LO, MAODO"
2019-20,LDLC ASVEL Villeurbanne,27,132,4.9,19/46,41.3,22/57,38.6,28/33,84.8,22,9,22,0,"LOMAZS, RIHARDS"
2020-21,LDLC ASVEL Villeurbanne,1,2,2,1/2,50,0/1,0,0/0,0,0,0,1,0,"LOMAZS, RIHARDS"
2018-19,CSKA Moscow,1,0,0,0/0,0,0/0,0,0/0,0,1,1,0,0,"LOPATIN, ANDREI"
2019-20,CSKA Moscow,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"LOPATIN, ANDREI"
2019-20,Valencia Basket,18,200,11.1,30/74,40.5,33/77,42.9,41/53,77.4,34,13,43,1,"LOYD, JORDAN"
2020-21,Crvena Zvezda mts Belgrade,4,95,23.8,19/36,52.8,11/32,34.4,24/24,100,20,5,10,1,"LOYD, JORDAN"
2009-10,Partizan Belgrade,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"LUCIC, VLADIMIR"
2010-11,Partizan mt:s Belgrade,15,36,2.4,10/17,58.8,2/6,33.3,10/15,66.7,28,3,9,4,"LUCIC, VLADIMIR"
2011-12,Partizan mt:s Belgrade,10,58,5.8,12/26,46.2,7/26,26.9,13/15,86.7,24,1,10,1,"LUCIC, VLADIMIR"
2012-13,Partizan mt:s Belgrade,10,137,13.7,32/71,45.1,10/31,32.3,43/54,79.6,48,16,8,2,"LUCIC, VLADIMIR"
2014-15,Valencia Basket,8,64,8,12/23,52.2,8/19,42.1,16/21,76.2,26,7,7,3,"LUCIC, VLADIMIR"
2018-19,FC Bayern Munich,29,291,10,78/125,62.4,26/74,35.1,57/69,82.6,111,32,35,5,"LUCIC, VLADIMIR"
2019-20,FC Bayern Munich,26,295,11.3,78/129,60.5,26/61,42.6,61/72,84.7,99,25,38,6,"LUCIC, VLADIMIR"
2020-21,FC Bayern Munich,5,86,17.2,9/12,75,13/20,65,29/33,87.9,23,4,4,0,"LUCIC, VLADIMIR"
2019-20,Zalgiris Kaunas,6,3,0.5,0/1,0,1/5,20,0/0,0,6,0,3,0,"LUKOSIUNAS, KAROLIS"
2020-21,Zalgiris Kaunas,1,0,0,0/0,0,0/1,0,0/0,0,0,0,0,0,"LUKOSIUNAS, KAROLIS"
2013-14,Fenerbahce Ulker Istanbul,22,120,5.5,21/43,48.8,22/53,41.5,12/13,92.3,27,12,14,0,"MAHMUTOGLU, MELIH"
2014-15,Fenerbahce Ulker Istanbul,16,37,2.3,2/9,22.2,11/28,39.3,0/0,0,11,0,5,0,"MAHMUTOGLU, MELIH"
2015-16,Fenerbahce Istanbul,18,72,4,4/9,44.4,21/52,40.4,1/2,50,13,3,7,0,"MAHMUTOGLU, MELIH"
2016-17,Fenerbahce Istanbul,20,79,4,5/13,38.5,21/48,43.8,6/6,100,10,5,11,0,"MAHMUTOGLU, MELIH"
2017-18,Fenerbahce Dogus Istanbul,21,35,1.7,7/19,36.8,6/21,28.6,3/3,100,10,3,5,0,"MAHMUTOGLU, MELIH"
2018-19,Fenerbahce Beko Istanbul,31,174,5.6,25/42,59.5,35/76,46.1,19/20,95,26,5,17,1,"MAHMUTOGLU, MELIH"
2019-20,Fenerbahce Beko Istanbul,21,137,6.5,17/43,39.5,33/65,50.8,4/5,80,17,6,10,0,"MAHMUTOGLU, MELIH"
2020-21,Fenerbahce Beko Istanbul,3,13,4.3,2/5,40,3/8,37.5,0/0,0,3,1,0,0,"MAHMUTOGLU, MELIH"
2019-20,Valencia Basket,27,171,6.3,36/65,55.4,23/70,32.9,30/36,83.3,28,11,11,0,"MARINKOVIC, VANJA"
2020-21,Valencia Basket,2,19,9.5,2/4,50,5/11,45.5,0/0,0,2,0,1,0,"MARINKOVIC, VANJA"
2020-21,Olympiacos Piraeus,5,44,8.8,21/23,91.3,0/0,0,2/6,33.3,29,2,1,3,"MARTIN, HASSAN"
2020-21,FC Barcelona,3,8,2.7,2/4,50,1/2,50,1/4,25,12,0,0,0,"MARTINEZ, SERGI"
2019-20,ALBA Berlin,28,75,2.7,6/17,35.3,18/53,34,9/11,81.8,29,11,21,0,"MATTISSECK, JONAS"
2020-21,ALBA Berlin,3,8,2.7,1/1,100,2/6,33.3,0/0,0,1,0,2,0,"MATTISSECK, JONAS"
2017-18,Anadolu Efes Istanbul,29,423,14.6,94/210,44.8,52/130,40,79/102,77.5,69,23,67,12,"MCCOLLUM, ERRICK"
2019-20,Olympiacos Piraeus,3,41,13.7,15/23,65.2,3/11,27.3,2/5,40,6,3,5,2,"MCKISSIC, SHAQUIELLE"
2020-21,Olympiacos Piraeus,5,42,8.4,11/18,61.1,2/12,16.7,14/20,70,12,5,12,1,"MCKISSIC, SHAQUIELLE"
2014-15,FC Bayern Munich,6,45,7.5,16/30,53.3,2/10,20,7/8,87.5,9,3,19,0,"MICIC, VASILIJE"
2015-16,FC Bayern Munich,4,2,0.5,0/3,0,0/4,0,2/2,100,3,2,3,1,"MICIC, VASILIJE"
2015-16,Crvena Zvezda Telekom Belgrade,17,94,5.5,17/52,32.7,13/36,36.1,21/29,72.4,30,4,62,3,"MICIC, VASILIJE"
2017-18,Zalgiris Kaunas,36,276,7.7,76/165,46.1,22/62,35.5,58/82,70.7,79,34,151,1,"MICIC, VASILIJE"
2018-19,Anadolu Efes Istanbul,37,459,12.4,101/174,58,66/178,37.1,59/72,81.9,81,38,204,2,"MICIC, VASILIJE"
2019-20,Anadolu Efes Istanbul,24,347,14.5,69/128,53.9,52/131,39.7,53/55,96.4,60,30,139,1,"MICIC, VASILIJE"
2020-21,Anadolu Efes Istanbul,4,44,11,14/26,53.8,3/24,12.5,7/9,77.8,7,4,26,0,"MICIC, VASILIJE"
2018-19,Khimki Moscow Region,28,398,14.2,135/236,57.2,20/57,35.1,68/92,73.9,139,21,20,30,"MICKEY, JORDAN"
2019-20,Real Madrid,26,235,9,84/124,67.7,7/21,33.3,46/59,78,108,11,15,26,"MICKEY, JORDAN"
2020-21,Khimki Moscow Region,2,20,10,6/12,50,2/8,25,2/4,50,11,0,1,5,"MICKEY, JORDAN"
2009-10,Caja Laboral,7,29,4.1,9/13,69.2,2/4,50,5/11,45.5,20,1,6,0,"MICOV, VLADIMIR"
2011-12,Bennet Cantu,14,145,10.4,38/92,41.3,13/33,39.4,30/35,85.7,58,15,45,5,"MICOV, VLADIMIR"
2012-13,CSKA Moscow,30,228,7.6,50/111,45,37/88,42,17/28,60.7,80,18,51,7,"MICOV, VLADIMIR"
2013-14,CSKA Moscow,31,240,7.7,44/99,44.4,39/80,48.8,35/45,77.8,89,15,39,6,"MICOV, VLADIMIR"
2014-15,Galatasaray Liv Hospital Istanbul,20,198,9.9,49/111,44.1,19/61,31.1,43/51,84.3,60,13,46,2,"MICOV, VLADIMIR"
2016-17,Galatasaray Odeabank Istanbul,29,326,11.2,62/151,41.1,54/125,43.2,40/52,76.9,104,24,69,2,"MICOV, VLADIMIR"
2017-18,AX Armani Exchange Olimpia Milan,29,316,10.9,68/133,51.1,47/106,44.3,39/50,78,75,16,63,3,"MICOV, VLADIMIR"
2018-19,AX Armani Exchange Olimpia Milan,30,418,13.9,93/185,50.3,56/142,39.4,64/81,79,97,34,76,4,"MICOV, VLADIMIR"
2019-20,AX Armani Exchange Milan,26,314,12.1,70/138,50.7,43/105,41,45/56,80.4,85,17,57,3,"MICOV, VLADIMIR"
2007-08,Zalgiris,2,2,1,1/1,100,0/1,0,0/0,0,0,0,0,0,"MILAKNIS, ARTURAS"
2008-09,Zalgiris,5,31,6.2,3/4,75,8/14,57.1,1/2,50,6,0,1,0,"MILAKNIS, ARTURAS"
2009-10,Zalgiris Kaunas,11,27,2.5,1/2,50,8/16,50,1/2,50,4,3,0,0,"MILAKNIS, ARTURAS"
2010-11,Zalgiris Kaunas,15,58,3.9,9/18,50,12/39,30.8,4/5,80,15,10,6,0,"MILAKNIS, ARTURAS"
2013-14,Zalgiris Kaunas,24,153,6.4,13/23,56.5,41/95,43.2,4/6,66.7,49,6,17,1,"MILAKNIS, ARTURAS"
2014-15,Zalgiris Kaunas,24,239,10,19/41,46.3,60/130,46.2,21/27,77.8,43,8,33,2,"MILAKNIS, ARTURAS"
2016-17,Zalgiris Kaunas,30,220,7.3,18/38,47.4,56/145,38.6,16/21,76.2,46,8,31,1,"MILAKNIS, ARTURAS"
2017-18,Zalgiris Kaunas,36,288,8,22/39,56.4,75/167,44.9,19/23,82.6,71,16,31,4,"MILAKNIS, ARTURAS"
2018-19,Zalgiris Kaunas,34,239,7,15/42,35.7,60/144,41.7,29/34,85.3,49,22,30,2,"MILAKNIS, ARTURAS"
2019-20,Zalgiris Kaunas,28,208,7.4,24/34,70.6,45/114,39.5,25/30,83.3,41,24,17,1,"MILAKNIS, ARTURAS"
2020-21,Zalgiris Kaunas,5,38,7.6,4/6,66.7,10/18,55.6,0/0,0,7,4,7,0,"MILAKNIS, ARTURAS"
2012-13,Partizan mt:s Belgrade,8,26,3.3,10/18,55.6,0/0,0,6/8,75,11,1,1,2,"MILUTINOV, NIKOLA"
2013-14,Partizan NIS Belgrade,21,98,4.7,41/80,51.3,0/0,0,16/25,64,70,4,20,12,"MILUTINOV, NIKOLA"
2015-16,Olympiacos Piraeus,18,66,3.7,26/48,54.2,0/0,0,14/18,77.8,49,6,6,12,"MILUTINOV, NIKOLA"
2016-17,Olympiacos Piraeus,36,160,4.4,62/106,58.5,0/1,0,36/52,69.2,117,12,21,29,"MILUTINOV, NIKOLA"
2017-18,Olympiacos Piraeus,29,254,8.8,96/147,65.3,0/0,0,62/82,75.6,166,16,28,18,"MILUTINOV, NIKOLA"
2018-19,Olympiacos Piraeus,28,327,11.7,125/189,66.1,1/1,100,74/100,74,221,17,42,20,"MILUTINOV, NIKOLA"
2019-20,Olympiacos Piraeus,24,246,10.3,84/128,65.6,0/0,0,78/102,76.5,197,11,29,14,"MILUTINOV, NIKOLA"
2020-21,CSKA Moscow,2,6,3,1/1,100,0/0,0,4/6,66.7,4,0,0,0,"MILUTINOV, NIKOLA"
2008-09,Real Madrid,1,0,0,0/1,0,0/0,0,0/0,0,0,0,0,0,"MIROTIC, NIKOLA"
2010-11,Real Madrid,20,132,6.6,36/65,55.4,12/31,38.7,24/28,85.7,65,9,12,10,"MIROTIC, NIKOLA"
2011-12,Real Madrid,16,200,12.5,45/79,57,18/41,43.9,56/61,91.8,72,12,14,7,"MIROTIC, NIKOLA"
2012-13,Real Madrid,29,330,11.4,86/156,55.1,26/80,32.5,80/94,85.1,154,20,27,25,"MIROTIC, NIKOLA"
2013-14,Real Madrid,31,384,12.4,79/147,53.7,41/89,46.1,103/127,81.1,143,33,37,26,"MIROTIC, NIKOLA"
2019-20,FC Barcelona,28,533,19,119/195,61,54/163,33.1,133/153,86.9,194,32,44,9,"MIROTIC, NIKOLA"
2020-21,FC Barcelona,2,31,15.5,11/14,78.6,1/9,11.1,6/7,85.7,14,6,5,0,"MIROTIC, NIKOLA"
2017-18,Panathinaikos Superfoods Athens,4,3,0.8,0/2,0,0/2,0,3/6,50,3,1,2,0,"MITOGLOU, KONSTANTINOS"
2018-19,Panathinaikos OPAP Athens,27,114,4.2,44/71,62,5/25,20,11/20,55,80,8,8,4,"MITOGLOU, KONSTANTINOS"
2019-20,Panathinaikos OPAP Athens,28,163,5.8,52/91,57.1,8/27,29.6,35/46,76.1,103,24,13,7,"MITOGLOU, KONSTANTINOS"
2020-21,Panathinaikos OPAP Athens,4,30,7.5,5/13,38.5,4/12,33.3,8/10,80,30,2,6,0,"MITOGLOU, KONSTANTINOS"
2009-10,Entente Orleanaise,10,62,6.2,10/27,37,9/31,29,15/18,83.3,29,7,5,7,"MOERMAN, ADRIEN"
2011-12,SLUC Nancy,10,119,11.9,35/77,45.5,12/32,37.5,13/19,68.4,56,14,8,5,"MOERMAN, ADRIEN"
2014-15,Limoges CSP,10,92,9.2,26/46,56.5,9/38,23.7,13/15,86.7,69,8,12,2,"MOERMAN, ADRIEN"
2016-17,Darussafaka Dogus Istanbul,33,266,8.1,63/140,45,40/120,33.3,20/26,76.9,168,29,28,6,"MOERMAN, ADRIEN"
2017-18,FC Barcelona Lassa,30,228,7.6,57/99,57.6,34/105,32.4,12/19,63.2,164,19,29,6,"MOERMAN, ADRIEN"
2018-19,Anadolu Efes Istanbul,37,443,12,122/206,59.2,55/137,40.1,34/39,87.2,224,41,56,11,"MOERMAN, ADRIEN"
2019-20,Anadolu Efes Istanbul,12,62,5.2,20/30,66.7,5/13,38.5,7/10,70,37,6,5,0,"MOERMAN, ADRIEN"
2020-21,Anadolu Efes Istanbul,4,27,6.8,7/12,58.3,4/11,36.4,1/4,25,12,4,4,0,"MOERMAN, ADRIEN"
2002-03,CSKA Moscow,22,107,4.9,17/40,42.5,18/42,42.9,19/23,82.6,51,8,10,11,"MONIA, SERGEY"
2003-04,CSKA Moscow,21,124,5.9,28/49,57.1,16/54,29.6,20/27,74.1,63,12,13,9,"MONIA, SERGEY"
2004-05,CSKA Moscow,20,107,5.3,23/42,54.8,17/44,38.6,10/15,66.7,65,20,10,10,"MONIA, SERGEY"
2006-07,Dynamo Moscow,21,74,3.5,9/33,27.3,15/34,44.1,11/12,91.7,52,11,4,5,"MONIA, SERGEY"
2010-11,Khimki Moscow Region,10,69,6.9,8/17,47.1,16/41,39,5/7,71.4,34,10,7,9,"MONIA, SERGEY"
2012-13,Khimki Moscow Region,24,180,7.5,31/59,52.5,37/101,36.6,7/8,87.5,92,15,43,28,"MONIA, SERGEY"
2015-16,Khimki Moscow Region,24,150,6.3,22/48,45.8,32/90,35.6,10/11,90.9,75,19,39,22,"MONIA, SERGEY"
2017-18,Khimki Moscow Region,32,102,3.2,12/25,48,24/61,39.3,6/7,85.7,46,8,37,14,"MONIA, SERGEY"
2018-19,Khimki Moscow Region,26,107,4.1,9/25,36,29/65,44.6,2/3,66.7,50,13,26,9,"MONIA, SERGEY"
2019-20,Khimki Moscow Region,17,32,1.9,1/6,16.7,10/23,43.5,0/0,0,32,5,9,3,"MONIA, SERGEY"
2020-21,Khimki Moscow Region,3,14,4.7,1/1,100,4/12,33.3,0/0,0,13,1,5,2,"MONIA, SERGEY"
2019-20,FC Bayern Munich,28,361,12.9,145/277,52.3,0/0,0,71/95,74.7,189,37,71,16,"MONROE, GREG"
2020-21,Khimki Moscow Region,1,15,15,6/12,50,0/0,0,3/3,100,6,1,1,1,"MONROE, GREG"
2007-08,Virtus VidiVici,2,0,0,0/1,0,0/3,0,0/0,0,2,3,0,0,"MORASCHINI, RICCARDO"
2019-20,AX Armani Exchange Milan,15,79,5.3,16/27,59.3,9/31,29,20/24,83.3,39,10,16,1,"MORASCHINI, RICCARDO"
2020-21,AX Armani Exchange Milan,4,23,5.8,6/10,60,2/6,33.3,5/12,41.7,5,1,2,0,"MORASCHINI, RICCARDO"
2020-21,AX Armani Exchange Milan,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"MORETTI, DAVIDE"
2009-10,Asvel Basket,10,115,11.5,23/40,57.5,18/51,35.3,15/20,75,26,14,31,0,"MUHAMMED, ALI"
2015-16,Fenerbahce Istanbul,28,303,10.8,43/96,44.8,61/161,37.9,34/38,89.5,91,27,101,3,"MUHAMMED, ALI"
2016-17,Fenerbahce Istanbul,34,386,11.4,52/113,46,78/201,38.8,48/53,90.6,93,35,106,0,"MUHAMMED, ALI"
2017-18,Fenerbahce Dogus Istanbul,21,146,7,16/33,48.5,36/78,46.2,6/8,75,23,7,25,0,"MUHAMMED, ALI"
2018-19,Fenerbahce Beko Istanbul,34,315,9.3,47/85,55.3,65/131,49.6,26/30,86.7,57,21,76,0,"MUHAMMED, ALI"
2019-20,Fenerbahce Beko Istanbul,22,120,5.5,15/26,57.7,24/66,36.4,18/19,94.7,28,10,29,0,"MUHAMMED, ALI"
2020-21,Fenerbahce Beko Istanbul,5,20,4,1/6,16.7,6/14,42.9,0/0,0,11,3,7,0,"MUHAMMED, ALI"
2012-13,Lietuvos Rytas Vilnius,10,98,9.8,24/63,38.1,12/35,34.3,14/20,70,25,8,21,2,"NEDOVIC, NEMANJA"
2014-15,Valencia Basket,5,40,8,9/22,40.9,6/15,40,4/4,100,5,7,18,1,"NEDOVIC, NEMANJA"
2015-16,Unicaja Malaga,23,170,7.4,37/70,52.9,24/86,27.9,24/32,75,18,7,44,3,"NEDOVIC, NEMANJA"
2017-18,Unicaja Malaga,24,404,16.8,80/161,49.7,54/151,35.8,82/97,84.5,47,14,115,2,"NEDOVIC, NEMANJA"
2018-19,AX Armani Exchange Olimpia Milan,15,172,11.5,30/58,51.7,29/70,41.4,25/31,80.6,37,12,40,2,"NEDOVIC, NEMANJA"
2019-20,AX Armani Exchange Milan,17,135,7.9,17/40,42.5,24/70,34.3,29/35,82.9,21,5,29,1,"NEDOVIC, NEMANJA"
2020-21,Panathinaikos OPAP Athens,4,59,14.8,7/20,35,14/32,43.8,3/6,50,11,2,12,2,"NEDOVIC, NEMANJA"
2019-20,ALBA Berlin,11,29,2.6,13/26,50,0/1,0,3/8,37.5,22,6,6,4,"NIKIC, KRESIMIR"
2020-21,ALBA Berlin,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"NIKIC, KRESIMIR"
2019-20,Olympiacos Piraeus,3,6,2,1/2,50,0/2,0,4/4,100,5,5,0,0,"NIKOLAIDIS, ALEXANDROS"
2019-20,LDLC ASVEL Villeurbanne,25,125,5,35/56,62.5,15/46,32.6,10/16,62.5,51,8,8,7,"NOUA, AMINE"
2020-21,LDLC ASVEL Villeurbanne,2,19,9.5,7/8,87.5,1/4,25,2/2,100,11,1,4,1,"NOUA, AMINE"
2020-21,Khimki Moscow Region,3,22,7.3,3/5,60,5/6,83.3,1/4,25,2,2,1,0,"ODINOKOV, VLADISLAV"
2016-17,Brose Bamberg,1,2,2,1/2,50,0/0,0,0/0,0,1,0,1,0,"OLINDE, LOUIS"
2017-18,Brose Bamberg,15,32,2.1,8/12,66.7,1/8,12.5,13/15,86.7,21,3,4,0,"OLINDE, LOUIS"
2020-21,ALBA Berlin,4,4,1,2/8,25,0/1,0,0/0,0,5,1,0,1,"OLINDE, LOUIS"
2017-18,FC Barcelona Lassa,27,224,8.3,66/112,58.9,15/32,46.9,47/63,74.6,94,7,16,7,"ORIOLA, PIERRE"
2018-19,FC Barcelona Lassa,35,191,5.5,57/105,54.3,13/45,28.9,38/62,61.3,123,10,25,10,"ORIOLA, PIERRE"
2019-20,FC Barcelona,28,107,3.8,25/37,67.6,14/28,50,15/27,55.6,59,9,18,3,"ORIOLA, PIERRE"
2020-21,FC Barcelona,5,12,2.4,6/15,40,0/1,0,0/0,0,15,0,5,0,"ORIOLA, PIERRE"
2016-17,Zalgiris Kaunas,30,260,8.7,29/102,28.4,59/129,45.7,25/29,86.2,54,27,96,0,"PANGOS, KEVIN"
2017-18,Zalgiris Kaunas,36,456,12.7,91/186,48.9,75/158,47.5,49/65,75.4,98,26,212,2,"PANGOS, KEVIN"
2018-19,FC Barcelona Lassa,35,246,7,52/116,44.8,33/104,31.7,43/58,74.1,40,15,111,0,"PANGOS, KEVIN"
2020-21,Zenit St Petersburg,2,38,19,8/10,80,5/18,27.8,7/7,100,3,2,9,0,"PANGOS, KEVIN"
2015-16,Panathinaikos Athens,6,9,1.5,4/13,30.8,0/0,0,1/2,50,10,0,0,2,"PAPAGIANNIS, GEORGIOS"
2018-19,Panathinaikos OPAP Athens,26,105,4,50/72,69.4,0/0,0,5/9,55.6,74,7,5,15,"PAPAGIANNIS, GEORGIOS"
2019-20,Panathinaikos OPAP Athens,27,186,6.9,85/135,63,0/2,0,16/24,66.7,128,10,6,25,"PAPAGIANNIS, GEORGIOS"
2020-21,Panathinaikos OPAP Athens,4,22,5.5,9/15,60,0/0,0,4/5,80,19,1,3,6,"PAPAGIANNIS, GEORGIOS"
2009-10,Olympiacos Piraeus,6,5,0.8,2/4,50,0/4,0,1/2,50,7,3,5,0,"PAPANIKOLAOU, KOSTAS"
2010-11,Olympiacos Piraeus,16,63,3.9,11/24,45.8,10/23,43.5,11/17,64.7,50,9,4,1,"PAPANIKOLAOU, KOSTAS"
2011-12,Olympiacos Piraeus,22,134,6.1,35/58,60.3,14/42,33.3,22/32,68.8,75,11,14,7,"PAPANIKOLAOU, KOSTAS"
2012-13,Olympiacos Piraeus,31,270,8.7,43/91,47.3,50/96,52.1,34/47,72.3,136,27,43,21,"PAPANIKOLAOU, KOSTAS"
2013-14,FC Barcelona,28,194,6.9,55/91,60.4,22/61,36.1,18/36,50,96,21,61,15,"PAPANIKOLAOU, KOSTAS"
2015-16,Olympiacos Piraeus,7,41,5.9,14/22,63.6,2/17,11.8,7/12,58.3,30,4,7,3,"PAPANIKOLAOU, KOSTAS"
2016-17,Olympiacos Piraeus,37,300,8.1,66/127,52,37/117,31.6,57/69,82.6,178,43,56,13,"PAPANIKOLAOU, KOSTAS"
2017-18,Olympiacos Piraeus,28,232,8.3,44/80,55,25/67,37.3,69/89,77.5,121,27,58,10,"PAPANIKOLAOU, KOSTAS"
2018-19,Olympiacos Piraeus,30,208,6.9,30/55,54.5,39/105,37.1,31/42,73.8,117,23,49,9,"PAPANIKOLAOU, KOSTAS"
2019-20,Olympiacos Piraeus,26,222,8.5,40/66,60.6,36/92,39.1,34/48,70.8,94,36,39,8,"PAPANIKOLAOU, KOSTAS"
2020-21,Olympiacos Piraeus,5,25,5,3/7,42.9,3/14,21.4,10/12,83.3,10,2,7,1,"PAPANIKOLAOU, KOSTAS"
2013-14,Olympiacos Piraeus,12,55,4.6,10/14,71.4,11/23,47.8,2/5,40,17,3,4,2,"PAPAPETROU, IOANNIS"
