Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2019-20,Valencia Basket,26,369,14.2,101/169,59.8,30/86,34.9,77/93,82.8,168,15,43,5,"DUBLJEVIC, BOJAN"
2020-21,Valencia Basket,4,59,14.8,10/16,62.5,9/18,50,12/14,85.7,20,5,5,0,"DUBLJEVIC, BOJAN"
2013-14,Olympiacos Piraeus,29,300,10.3,120/177,67.8,0/2,0,60/106,56.6,155,31,28,38,"DUNSTON, BRYANT"
2014-15,Olympiacos Piraeus,29,205,7.1,75/137,54.7,0/1,0,55/89,61.8,128,24,17,32,"DUNSTON, BRYANT"
2015-16,Anadolu Efes Istanbul,24,189,7.9,67/111,60.4,0/0,0,55/84,65.5,119,12,29,26,"DUNSTON, BRYANT"
2016-17,Anadolu Efes Istanbul,35,373,10.7,140/253,55.3,0/1,0,93/137,67.9,217,21,37,40,"DUNSTON, BRYANT"
2017-18,Anadolu Efes Istanbul,30,307,10.2,116/177,65.5,2/6,33.3,69/99,69.7,163,22,39,52,"DUNSTON, BRYANT"
2018-19,Anadolu Efes Istanbul,36,319,8.9,119/183,65,2/6,33.3,75/107,70.1,176,29,48,43,"DUNSTON, BRYANT"
2019-20,Anadolu Efes Istanbul,9,91,10.1,38/51,74.5,0/3,0,15/24,62.5,48,7,16,11,"DUNSTON, BRYANT"
2020-21,Anadolu Efes Istanbul,4,41,10.3,17/23,73.9,0/1,0,7/13,53.8,7,3,5,7,"DUNSTON, BRYANT"
2015-16,Anadolu Efes Istanbul,10,19,1.9,9/14,64.3,0/0,0,1/2,50,12,1,2,1,"DUVERIOGLU, AHMET"
2016-17,Fenerbahce Istanbul,9,30,3.3,13/16,81.3,0/0,0,4/6,66.7,12,1,1,4,"DUVERIOGLU, AHMET"
2017-18,Fenerbahce Dogus Istanbul,27,90,3.3,39/55,70.9,0/0,0,12/26,46.2,48,7,14,9,"DUVERIOGLU, AHMET"
2018-19,Fenerbahce Beko Istanbul,31,90,2.9,41/66,62.1,0/0,0,8/20,40,81,17,21,12,"DUVERIOGLU, AHMET"
